ED#Точка;ED#Alt;TypeDV#Тип;ST#Описание;LE,Objects#Модель;LS,Type#ТипМодели;Points#ACS;ED#Формула;ST#EngUnit
FGS_301_1.30XL190;PLC=51/FLD=916(FSC);DO;AB3004 Running;;;;;
30XY577A;PLC=544/FLD=164(FLD);DO;Снаружи здания(в осях 9/В);;;;;
30YT005;PLC=11105/FLD=158(FLD);AI;У насоса C-3001A (в осях 6/А);;;;#=83;
30XY540B;PLC=588/FLD=560(FLD);DO;Between V-3008, V-3009;;;;;
00XS301G01ELD;PLC=426/FLD=22(CAB);DI;IB30-1 COMM. ALARM FGS-01 EARTH LEAKAGE;;;;;
30HY190;PLC=531/FLD=916(MCC);DO;"AВ3004 ""Стоп"" (STOP)";;;;;
30XY539A;PLC=619/FLD=514(FLD);DO;Near К-3002;;;;;
30GT512;PLC=11285/FLD=326(FLD);AI;Between P-3013A/S;GI512;M;Показания;#ScaleN(0,100,361,3439);
30GT514;PLC=11221/FLD=468(FLD);AI;Between V-3008, Т-3004;GI514;M;Показания;#ScaleN(0,100,525,3439);
30YT009;PLC=11121/FLD=174(FLD);AI;У насоса P-3027 (в осях 9/A);;;;#=83;
30XY579A;PLC=546/FLD=172(FLD);DO;У аппарата T-3003;;;;;
30XY540A;PLC=620/FLD=560(FLD);DO;Between V-3008, V-3009;;;;;
30HS215;PLC=474/FLD=552(FLD);DI;Checking 30XA551,30XA552,30XA553;;;;;
FGS_301_1.30XA1002_1;PLC=5/FLD=130(FSC);DO;FD act. in Heat exch FDAP-C,F lamp;;;;;
30HS300B;PLC=420/FLD=911(FLD);DI;Oткрыть при пожаре (OPEN AT FIRE);30XV300_HS;HS->RSU;;#0;
30HS104B;PLC=482/FLD=1004(F01);DI;30XV104 Open;30XV104_HS;HS->RSU;;;
FGS_301_1.30XA1006_1;PLC=7/FLD=188(FSC);DO;FD act. in open PH FDAP-C,F lamp;;;;;
30HS350;PLC=449/FLD=200(FLD);DI;Проверка 30XA570B/A, 30XA571B/A;;;;;
